id,Periodo,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfoque
1,Mayo,M,ITI,4,3,5,5,4,1,5,4,4,5,3,1,4,5,4,3,3,4,5,3,3,4,4,1,3,5,3,5,2,4,3,4,4,2,2,2,4,4,2,4,4,1,4,4,"3,571428571",4,"3,142857143",2,4,"3,571428571","2,785714286",Superficial
2,Mayo,F,ITI,2,5,4,2,2,1,3,2,4,4,5,4,5,4,5,3,2,5,2,5,3,1,5,5,4,1,2,4,4,4,5,5,3,3,1,2,4,4,5,3,5,5,"3,571428571","3,714285714","3,714285714","2,857142857","3,428571429","3,714285714","3,214285714","3,571428571","3,714285714",Logro
3,Mayo,F,LAF,5,5,5,3,2,1,5,3,5,5,3,2,5,5,5,3,2,5,5,2,4,4,3,2,4,5,5,5,2,3,5,4,5,2,2,2,5,5,4,1,3,5,"4,857142857","4,142857143","4,714285714","3,285714286","2,428571429","2,857142857","4,071428571","3,285714286","3,785714286",Superficial
4,Mayo,M,INT,3,4,3,3,4,3,4,4,4,4,4,3,4,4,5,2,3,2,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,4,2,2,5,4,3,2,3,3,"3,571428571","3,428571429","3,571428571","3,142857143","3,285714286","2,857142857","3,357142857","3,357142857","3,214285714",Superficial
5,Mayo,M,LAF,3,4,4,1,5,3,4,3,5,4,4,4,4,4,4,5,4,4,5,3,4,1,4,5,4,3,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4,"3,714285714","3,571428571","4,285714286","3,285714286","4,142857143","4,142857143","3,5","3,857142857","4,214285714",Logro
6,Mayo,M,IQA,3,5,4,1,5,5,2,5,5,5,5,1,5,5,4,4,5,1,1,1,5,1,5,5,1,5,1,1,5,5,5,5,1,2,4,5,5,5,5,3,5,5,"3,142857143","4,428571429","3,571428571","2,428571429","4,857142857","3,857142857","2,785714286","4,642857143","3,714285714",Profundo
7,Mayo,F,ARQ,2,5,5,1,4,3,5,3,5,4,4,3,5,4,5,5,3,2,5,3,3,3,4,4,4,3,2,3,3,4,5,4,2,3,3,5,5,4,3,3,4,4,"4,428571429","3,714285714","3,571428571","3,142857143","3,571428571","3,571428571","3,785714286","3,642857143","3,571428571",Superficial
8,Mayo,M,LAEt,2,4,4,3,5,4,2,2,3,4,4,4,4,4,5,4,4,4,2,4,1,3,3,3,3,1,3,3,4,4,2,4,4,2,5,4,4,4,3,4,4,5,"2,714285714","3,285714286","3,285714286","3,285714286","4,142857143",4,3,"3,714285714","3,642857143",Profundo
9,Mayo,F,MBI,2,5,5,1,2,1,5,5,5,4,5,3,5,2,5,3,5,4,5,4,3,3,5,1,5,5,4,5,3,5,1,3,5,2,1,1,5,3,4,3,4,5,4,"3,857142857","4,428571429",3,"3,571428571","2,857142857","3,5","3,714285714","3,642857143",Profundo
10,Mayo,F,IBT,3,4,4,2,3,2,5,4,5,5,3,3,4,3,5,3,3,5,5,3,4,2,4,3,2,5,4,5,3,3,3,3,2,3,2,3,4,5,2,3,3,4,"3,714285714","3,857142857","3,714285714","3,285714286",3,"3,285714286","3,5","3,428571429","3,5",Superficial
11,Mayo,F,LAD,1,5,3,1,5,1,3,1,3,3,5,1,3,3,3,1,3,5,5,2,3,3,3,5,5,5,1,3,5,1,3,4,3,3,1,1,3,1,1,1,3,1,"3,285714286",3,"2,428571429","2,142857143","3,571428571","2,142857143","2,714285714","3,285714286","2,285714286",Profundo
12,Mayo,M,ITI,3,3,2,2,4,1,2,5,5,5,5,5,5,4,5,3,4,5,3,5,5,2,3,3,4,4,2,5,5,1,3,5,2,5,3,4,1,5,5,5,5,4,3,"4,428571429","3,714285714","3,857142857","4,142857143","3,285714286","3,428571429","4,285714286","3,5",Profundo
13,Mayo,F,IBT,5,5,4,1,5,4,3,3,5,5,5,3,5,5,5,5,3,2,5,4,3,2,3,3,2,5,4,5,4,3,4,5,4,4,3,3,5,5,2,5,4,5,"4,142857143","4,571428571","3,857142857","3,857142857","3,857142857","3,285714286",4,"4,214285714","3,571428571",Profundo
14,Mayo,F,ISC,5,4,5,3,1,5,4,4,5,4,4,2,1,5,3,4,2,4,2,5,4,3,2,4,1,2,3,3,5,3,5,2,3,2,4,4,4,1,3,2,5,4,"3,142857143","3,285714286","3,714285714",3,"3,285714286","3,714285714","3,071428571","3,285714286","3,714285714",Logro
15,Mayo,F,IMT,4,4,3,2,3,5,4,4,5,5,3,3,5,3,3,5,4,2,4,3,4,4,4,5,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"3,714285714","3,714285714",4,"3,571428571","3,857142857",4,"3,642857143","3,785714286",Superficial
16,Mayo,F,ITI,4,3,3,2,3,2,5,4,5,5,4,2,5,4,5,2,4,3,4,3,4,3,4,2,4,5,3,5,3,3,4,3,2,3,2,2,4,4,2,3,3,3,"4,285714286","3,714285714","3,428571429","3,285714286","3,285714286","2,428571429","3,785714286","3,5","2,928571429",Superficial
17,Mayo,M,ISD,5,4,5,4,5,5,5,4,4,4,5,4,5,4,5,5,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,4,"4,714285714","4,285714286","4,714285714","4,428571429","4,714285714","4,428571429","4,571428571","4,5","4,571428571",Superficial
18,Mayo,F,IBT,5,5,5,1,5,3,5,5,5,2,4,5,5,5,5,5,4,5,5,5,5,2,4,4,3,4,4,4,5,5,5,4,4,3,4,5,5,3,5,3,5,5,"4,714285714","4,428571429","4,714285714","2,857142857","4,428571429","4,571428571","3,785714286","4,428571429","4,642857143",Logro
19,Mayo,M,IMT,5,3,4,2,3,3,5,4,4,4,3,4,3,4,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"3,571428571","3,285714286","3,714285714",3,"3,142857143","3,142857143","3,285714286","3,214285714","3,428571429",Logro
20,Mayo,M,ISC,3,4,2,5,5,1,4,4,2,2,4,2,5,3,3,1,3,3,5,3,3,2,5,1,4,4,2,3,4,4,5,5,1,2,3,4,5,4,4,2,5,1,"4,428571429","3,857142857","2,428571429","2,428571429","4,142857143","2,285714286","3,428571429",4,"2,357142857",Profundo
21,Mayo,F,ITI,3,4,2,3,2,1,3,3,1,5,3,1,1,3,4,1,2,1,1,1,3,5,3,5,1,4,4,3,5,1,5,4,3,1,5,2,4,4,4,4,2,2,"2,571428571","3,285714286",3,"3,142857143","3,142857143","1,857142857","2,857142857","3,214285714","2,428571429",Profundo
22,Mayo,M,IFI,1,5,5,2,4,5,5,5,5,1,5,4,3,3,5,5,5,3,4,5,4,1,5,2,1,2,3,5,5,5,1,3,5,3,5,5,3,5,2,1,5,5,"2,571428571",4,"4,142857143","2,571428571","4,857142857","4,142857143","2,571428571","4,428571429","4,142857143",Profundo
23,Mayo,F,IA,5,2,4,3,3,1,5,4,5,4,4,2,3,4,1,1,2,3,5,3,3,4,3,2,4,3,4,5,1,2,1,5,2,3,1,2,3,5,4,4,4,3,"3,714285714","3,714285714","3,285714286","3,428571429","2,571428571","2,142857143","3,571428571","3,142857143","2,714285714",Superficial
24,Mayo,F,LAD,2,4,3,4,5,1,4,5,5,2,5,1,5,5,5,2,5,4,5,4,2,4,5,2,5,5,1,5,5,4,5,5,2,4,2,4,5,5,1,2,5,5,"4,428571429","4,714285714","2,714285714","3,285714286","4,571428571",3,"3,857142857","4,642857143","2,857142857",Profundo
25,Mayo,M,ITI,5,2,5,1,2,4,5,5,5,5,4,3,5,1,5,1,3,5,5,1,5,2,3,3,3,5,3,3,3,3,3,3,5,3,3,5,2,4,1,3,3,1,4,3,"4,142857143","2,571428571",3,"3,428571429","3,285714286",3,"3,785714286",Logro
26,Mayo,F,LAF,4,4,5,3,2,2,3,3,5,4,3,1,4,5,4,3,4,2,3,1,2,3,3,1,3,4,3,4,2,2,4,5,2,2,1,2,5,5,2,2,3,5,"3,714285714","3,857142857","3,285714286",3,"2,571428571","2,142857143","3,357142857","3,214285714","2,714285714",Superficial
27,Mayo,F,ITI,1,5,4,1,3,1,4,5,4,3,4,2,5,3,4,2,3,3,4,3,5,2,5,1,2,5,1,5,2,2,5,5,4,1,2,2,5,5,2,1,5,2,"3,714285714","4,428571429","3,428571429","2,142857143","3,428571429","1,857142857","2,928571429","3,928571429","2,642857143",Profundo
28,Mayo,M,ISC,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,2,3,2,5,5,3,2,3,4,1,1,4,3,4,3,5,1,2,3,1,1,5,"3,571428571",4,"3,428571429","3,714285714","3,285714286","4,428571429","3,642857143","3,642857143","3,928571429",Logro
29,Mayo,F,ITI,4,3,5,2,1,4,3,2,5,1,5,4,5,5,5,4,3,5,4,3,4,4,5,4,3,4,5,4,5,3,5,4,5,4,5,5,4,3,5,4,4,5,4,"3,428571429","4,857142857","3,285714286",4,"4,285714286","3,642857143","3,714285714","4,571428571",Logro
30,Mayo,M,ITC,4,4,4,2,5,3,5,5,5,5,4,2,5,4,3,3,4,2,3,4,5,1,4,2,2,3,2,5,4,3,2,3,4,4,2,4,5,5,2,1,5,4,"3,714285714",4,"3,571428571",3,4,"2,857142857","3,357142857",4,"3,214285714",Profundo
31,Mayo,M,ISC,1,4,4,3,1,1,5,4,3,4,2,2,5,5,5,3,4,5,5,2,3,3,4,1,2,3,1,5,3,2,5,4,3,3,2,1,5,5,2,3,3,3,4,"3,857142857",3,"3,428571429","2,714285714","2,142857143","3,714285714","3,285714286","2,571428571",Superficial
32,Mayo,M,IMT,2,5,4,3,3,2,5,3,5,3,2,2,5,5,4,3,2,3,4,3,4,4,2,2,2,5,2,5,4,4,5,5,3,3,3,4,5,5,3,2,4,2,4,"4,428571429","3,571428571","3,285714286","2,857142857","2,714285714","3,642857143","3,642857143","3,142857143",Superficial
33,Mayo,F,ITI,3,5,5,1,3,1,5,5,5,5,5,1,3,5,5,1,5,3,5,5,5,1,5,5,1,5,3,5,5,5,2,5,3,1,1,2,5,3,2,1,1,5,"3,428571429","4,714285714",4,"2,142857143","3,571428571","3,142857143","2,785714286","4,142857143","3,571428571",Profundo
34,Mayo,M,ITI,4,1,3,5,4,1,1,4,2,2,4,1,4,5,2,3,3,3,1,4,1,5,4,1,5,1,1,3,2,2,4,5,1,1,2,1,5,5,1,3,4,5,"3,428571429","3,571428571","1,571428571","3,142857143","3,285714286",2,"3,285714286","3,428571429","1,785714286",Profundo
35,Mayo,M,ITC,4,3,2,5,5,1,4,5,3,1,5,1,4,5,3,2,5,1,5,5,5,2,5,1,3,5,3,5,4,5,5,5,1,1,2,5,4,5,2,3,5,1,"4,142857143","4,714285714","2,714285714","2,714285714","4,428571429","2,142857143","3,428571429","4,571428571","2,428571429",Profundo
36,Mayo,F,ITI,5,4,3,5,1,3,3,3,3,4,2,1,5,5,5,4,2,2,2,2,1,5,3,1,3,4,1,1,1,3,5,5,3,4,2,1,5,4,4,3,3,5,4,"3,857142857","2,857142857","3,714285714",2,"2,285714286","3,857142857","2,928571429","2,571428571",Superficial
37,Mayo,M,ISC,3,5,5,3,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"4,714285714",5,5,"4,571428571","4,714285714","4,857142857","4,642857143","4,857142857","4,928571429",Logro
38,Mayo,M,ITC,3,3,4,1,3,2,4,4,5,5,5,2,5,4,4,2,2,2,4,3,2,2,4,3,2,4,1,4,2,3,3,3,3,2,2,2,4,3,2,3,4,4,"3,571428571","3,428571429",3,"2,714285714","3,142857143","2,571428571","3,142857143","3,285714286","2,785714286",Profundo
39,Mayo,M,ITI,5,5,5,3,3,1,4,4,5,1,1,4,5,4,5,1,5,3,3,2,3,3,3,3,3,4,5,4,4,3,3,3,5,2,3,2,3,3,4,3,3,3,"3,714285714","3,571428571","4,571428571","2,428571429","3,142857143","2,714285714","3,071428571","3,357142857","3,642857143",Logro
40,Mayo,M,ITC,2,1,1,5,2,1,5,5,3,2,2,1,3,5,5,1,2,2,1,2,3,5,2,1,5,5,5,5,2,2,4,5,1,1,1,1,2,1,1,1,3,1,"3,142857143","3,428571429","2,714285714","2,857142857",2,"1,285714286",3,"2,714285714",2,Superficial
41,Mayo,M,ITI,5,3,3,2,3,1,4,3,4,4,2,2,4,4,3,1,2,3,1,1,2,3,4,2,3,5,4,4,3,4,2,3,4,4,2,3,5,4,3,4,4,5,"3,428571429","3,285714286","3,285714286","3,142857143","2,857142857","2,857142857","3,285714286","3,071428571","3,071428571",Superficial
42,Mayo,M,ITI,3,3,4,2,5,2,5,5,5,2,5,2,3,3,5,5,4,3,5,3,2,1,5,2,5,5,1,4,2,3,2,4,2,1,3,2,4,5,1,1,5,2,"3,857142857",4,"2,857142857","2,285714286","4,142857143","2,285714286","3,071428571","4,071428571","2,571428571",Profundo
43,Mayo,M,ITI,4,5,5,2,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,3,5,5,3,4,4,5,4,4,4,5,4,4,3,2,5,4,4,3,5,4,"4,428571429","4,714285714","4,428571429","3,857142857","4,428571429",4,"4,142857143","4,571428571","4,214285714",Profundo
44,Mayo,M,IFI,2,4,3,3,4,2,3,5,4,4,4,2,4,4,5,4,3,2,4,4,2,1,4,2,3,3,2,4,4,4,4,5,2,3,2,3,4,4,2,2,4,2,"3,428571429","4,142857143","2,857142857",3,"3,571428571","2,428571429","3,214285714","3,857142857","2,642857143",Profundo
45,Mayo,M,IID,5,5,2,5,5,1,4,5,3,5,4,2,5,1,5,5,3,1,2,5,2,5,5,1,5,5,1,5,4,2,1,5,1,5,2,1,5,5,1,2,5,1,"3,857142857","4,428571429","2,142857143","4,571428571",4,"1,285714286","4,214285714","4,214285714","1,714285714",Superficial
46,Mayo,M,ITI,2,4,1,3,5,5,3,5,3,4,5,2,3,5,5,4,5,3,5,5,5,3,5,3,4,5,3,5,5,5,2,5,2,4,4,4,5,5,3,5,5,2,"3,428571429","4,857142857","3,142857143",4,"4,857142857","3,428571429","3,714285714","4,857142857","3,285714286",Profundo
47,Mayo,M,IID,4,4,4,3,5,2,5,5,4,5,4,3,4,3,5,5,4,3,5,4,4,1,5,3,2,3,2,5,4,4,4,5,3,1,3,4,3,4,4,2,4,2,"3,857142857",4,"3,714285714","3,142857143","4,142857143",3,"3,5","4,071428571","3,357142857",Profundo
48,Mayo,M,LIN,5,4,5,3,2,1,1,2,4,3,5,5,4,3,3,2,1,5,4,4,3,3,2,1,5,4,3,3,4,1,5,5,4,3,2,5,2,5,4,4,5,5,"3,714285714","3,857142857","3,714285714",3,3,"3,285714286","3,357142857","3,428571429","3,5",Logro
49,Mayo,M,ITI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,"3,142857143",3,3,"3,071428571",3,Profundo
50,Mayo,M,IID,2,2,2,2,4,1,4,4,2,4,4,2,1,3,4,4,2,1,1,2,5,3,4,1,2,4,2,5,4,4,2,4,2,1,1,4,1,2,1,1,4,1,"1,857142857",3,"2,571428571","2,857142857","3,285714286",2,"2,357142857","3,142857143","2,285714286",Profundo
51,Mayo,M,ITC,1,1,1,5,3,2,3,5,5,5,5,1,1,5,5,3,5,1,5,1,1,1,3,1,5,5,1,5,4,5,1,1,1,1,4,1,3,2,1,3,4,1,"2,714285714","2,857142857","2,142857143","3,285714286",4,"1,714285714",3,"3,428571429","1,928571429",Profundo
52,Mayo,F,ITI,4,5,3,2,3,1,5,4,4,5,4,1,4,5,4,1,4,2,5,5,3,3,4,1,2,4,3,5,2,4,4,4,1,3,1,3,5,4,1,1,4,2,"4,142857143","4,428571429","2,714285714","2,857142857","3,142857143",2,"3,5","3,785714286","2,357142857",Profundo
53,Mayo,M,IMT,3,4,4,3,3,2,3,4,4,4,5,2,3,3,5,4,3,3,4,4,4,3,4,2,2,4,3,4,4,4,2,3,2,2,3,3,4,4,3,2,3,2,3,"3,714285714","3,571428571","3,142857143","3,571428571","2,571428571","3,071428571","3,642857143","3,071428571",Profundo
54,Mayo,F,IMT,5,5,4,2,3,2,5,4,4,5,5,2,5,5,4,5,4,2,5,4,4,5,5,1,5,5,3,5,3,3,2,5,3,2,2,3,5,5,4,2,3,3,"4,571428571","4,714285714","3,714285714","3,714285714","3,571428571","2,285714286","4,142857143","4,142857143",3,Superficial
55,Julio,M,ISC,2,4,3,3,4,2,5,3,3,4,4,4,4,4,3,4,3,4,5,4,5,3,4,4,5,5,2,5,3,4,5,4,2,3,3,3,4,4,2,3,4,4,"4,285714286",4,"2,857142857","3,571428571","3,571428571","3,571428571","3,928571429","3,785714286","3,214285714",Superficial
