id,Periodo,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfoque
56,Julio,M,ISC,3,3,2,5,5,2,5,5,3,5,4,1,5,2,4,1,3,1,5,2,3,3,5,1,3,3,2,2,2,3,5,5,2,2,2,1,5,5,3,2,5,1,"4,428571429","3,571428571","2,714285714","2,857142857","3,714285714","1,428571429","3,642857143","3,642857143","2,071428571",Superficial
57,Julio,M,ISC,4,2,2,2,3,3,3,1,2,3,2,2,2,4,2,2,2,3,4,1,3,2,3,1,5,2,1,4,2,2,2,3,2,2,1,2,3,1,2,3,2,1,"3,285714286",2,2,"2,571428571","2,142857143",2,"2,928571429","2,071428571",2,Superficial
58,Julio,M,IME,2,4,4,2,5,4,5,4,4,3,4,3,4,4,5,2,4,3,5,2,3,2,5,2,2,3,1,5,4,3,2,5,4,2,4,4,5,5,4,3,5,3,"3,571428571","3,857142857","3,571428571","2,714285714","4,428571429","3,142857143","3,142857143","4,142857143","3,357142857",Profundo
59,Julio,M,ISC,3,5,5,3,4,2,5,3,5,3,2,5,5,1,5,4,3,5,5,3,4,4,3,4,2,4,1,3,3,4,1,2,5,1,2,3,5,3,2,2,5,2,"3,714285714",3,"3,857142857","2,857142857","3,142857143","3,571428571","3,285714286","3,071428571","3,714285714",Logro
60,Julio,M,ITI,2,3,3,3,4,2,4,4,3,4,4,2,3,4,3,3,2,3,4,3,4,2,4,2,2,3,2,4,2,3,3,4,2,3,2,3,3,4,2,2,4,3,3,"3,571428571","2,714285714",3,"3,142857143","2,571428571",3,"3,357142857","2,642857143",Profundo
61,Julio,M,LED,3,5,3,2,4,4,5,5,5,4,4,4,4,4,5,4,4,4,5,4,5,2,4,3,3,4,3,4,4,4,3,5,3,3,4,4,4,5,4,5,4,4,"3,857142857","4,571428571",4,"3,428571429",4,"3,857142857","3,642857143","4,285714286","3,928571429",Profundo
62,Julio,M,ISC,3,5,3,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,4,4,5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,"4,428571429","4,714285714","4,142857143","3,857142857",5,"4,571428571","4,142857143","4,857142857","4,357142857",Profundo
63,Julio,M,ISC,3,5,5,2,3,1,4,4,5,4,5,2,4,4,5,4,5,5,5,2,4,1,5,4,4,2,4,5,2,4,2,5,5,2,1,2,5,5,2,1,5,2,"3,857142857","3,857142857","4,285714286","2,714285714","3,714285714","2,857142857","3,285714286","3,785714286","3,571428571",Profundo
64,Julio,M,ISC,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,2,3,3,4,2,3,3,4,1,4,4,2,4,3,3,3,4,1,2,2,3,3,4,3,3,4,3,"3,285714286","3,285714286","2,571428571","2,714285714","3,285714286","2,571428571",3,"3,285714286","2,571428571",Profundo
65,Julio,M,ISD,5,4,4,5,5,4,4,4,5,5,5,4,3,4,3,4,5,4,3,4,5,5,5,4,4,5,5,4,5,4,4,4,5,5,5,5,4,3,4,4,3,3,"3,857142857",4,"4,428571429","4,571428571","4,714285714",4,"4,214285714","4,357142857","4,214285714",Profundo
66,Julio,M,ITC,2,3,2,3,2,4,1,3,2,5,2,2,5,3,4,4,2,3,3,2,2,2,4,2,3,3,1,4,2,2,4,2,3,2,2,2,4,1,3,2,3,2,"3,142857143","2,428571429","2,428571429","3,142857143","2,428571429","2,428571429","3,142857143","2,428571429","2,428571429",Superficial
67,Julio,M,ITI,2,4,1,5,5,1,5,2,5,4,3,1,5,4,2,4,2,1,4,3,5,4,5,1,3,1,1,5,1,1,1,5,4,3,1,3,5,5,5,3,5,4,"3,571428571","3,428571429","3,285714286",4,"3,142857143","1,714285714","3,785714286","3,285714286","2,5",Superficial
68,Julio,M,ISC,4,4,5,4,5,3,4,5,5,5,4,2,4,5,4,4,4,3,4,3,3,2,3,1,2,3,1,5,3,3,3,2,3,2,2,3,3,5,3,1,5,4,"3,428571429","3,857142857","3,428571429","3,285714286","3,714285714","2,714285714","3,357142857","3,785714286","3,071428571",Profundo
69,Julio,F,ISC,4,4,3,2,3,1,4,2,3,4,2,3,4,4,4,3,3,2,4,4,4,3,3,2,3,4,3,4,3,3,4,4,3,2,2,2,4,3,4,2,3,2,"3,857142857","3,571428571","3,428571429","2,857142857","2,714285714","2,142857143","3,357142857","3,142857143","2,785714286",Superficial
70,Julio,M,ITI,1,5,4,3,4,2,4,5,4,4,5,3,5,4,5,3,4,4,5,4,3,2,4,2,3,3,1,5,4,4,2,5,4,3,3,3,5,4,3,3,5,3,"3,571428571","4,285714286","3,428571429","3,285714286","4,142857143",3,"3,428571429","4,214285714","3,214285714",Profundo
71,Julio,M,ISDR,2,4,4,2,4,1,4,5,5,3,5,2,4,5,4,4,3,5,5,5,5,4,5,5,3,4,1,3,2,5,3,2,1,5,2,2,5,5,5,3,5,5,"3,714285714","4,285714286","3,571428571","3,428571429","3,714285714","3,571428571","3,571428571",4,"3,571428571",Profundo
72,Julio,M,LC,2,3,2,3,4,2,2,4,3,4,4,4,4,5,2,5,4,2,4,2,3,2,4,2,4,4,2,1,4,4,1,5,1,2,3,3,3,4,4,2,4,1,"2,857142857","3,857142857","2,428571429","2,714285714","3,857142857","2,571428571","2,785714286","3,857142857","2,5",Profundo
73,Julio,M,IC,5,5,4,2,5,4,2,5,4,3,5,3,5,5,5,5,5,4,3,3,4,3,5,3,5,4,5,5,5,5,3,5,3,2,3,3,5,5,3,2,5,4,4,"4,571428571",4,"3,142857143","4,714285714","3,714285714","3,571428571","4,642857143","3,857142857",Profundo
74,Julio,M,ISC,3,4,4,4,5,5,5,4,5,5,4,5,5,4,5,3,4,4,2,3,4,1,5,5,4,5,4,4,5,4,4,5,5,5,4,5,4,4,5,4,5,5,"3,857142857","4,142857143","4,571428571","3,714285714","4,571428571","4,714285714","3,785714286","4,357142857","4,642857143",Logro
75,Julio,M,RCI,5,3,2,4,4,2,2,3,3,5,3,2,3,4,3,2,3,1,1,3,1,3,4,2,5,3,1,5,3,4,4,2,1,3,2,3,4,4,2,2,4,4,"3,428571429","3,142857143","1,857142857","3,428571429","3,285714286","2,571428571","3,428571429","3,214285714","2,214285714",Superficial
76,Julio,M,ITC,5,5,5,3,4,3,2,5,5,2,4,2,5,5,5,4,5,3,2,5,5,1,5,4,2,3,2,3,5,5,5,5,5,2,5,4,5,5,4,1,5,2,"3,714285714","4,714285714","4,428571429","2,285714286","4,714285714","3,285714286",3,"4,714285714","3,857142857",Profundo
77,Julio,M,ISD,2,4,3,2,5,4,2,4,4,3,4,4,4,5,5,4,0,4,3,4,4,2,5,2,2,3,2,3,5,5,3,5,1,1,4,0,3,4,1,1,5,3,"2,714285714","4,142857143","2,857142857","2,285714286","4,666666667","3,666666667","2,5","4,404761905","3,261904762",Profundo
78,Julio,F,IRS,2,3,2,1,2,1,4,1,5,1,4,1,5,5,1,1,2,1,5,4,2,1,2,1,1,2,1,5,4,2,1,5,3,1,3,1,4,2,4,2,3,5,"3,142857143","3,142857143","2,571428571","1,714285714","2,857142857","1,714285714","2,428571429",3,"2,142857143",Profundo
79,Julio,F,LCMD,1,4,4,1,4,2,4,4,5,2,3,1,4,5,5,3,3,1,4,5,3,1,5,2,3,4,1,5,4,4,1,3,4,1,2,3,5,5,3,1,4,2,"3,142857143","4,285714286","3,571428571",2,"3,571428571","2,142857143","2,571428571","3,928571429","2,857142857",Profundo
80,Julio,M,ISD,3,5,3,1,5,4,4,4,4,2,5,3,5,4,5,4,5,4,5,5,2,1,5,5,5,4,1,5,3,5,3,5,5,4,4,4,5,5,5,3,5,4,"4,285714286","4,571428571","3,571428571","2,857142857","4,571428571","4,142857143","3,571428571","4,571428571","3,857142857",Profundo
81,Julio,M,ISD,3,3,3,3,4,1,5,4,3,5,3,0,2,5,5,3,1,2,4,3,3,1,4,3,5,3,3,5,3,2,3,4,4,2,3,2,5,3,4,3,4,2,"3,857142857","3,571428571","3,571428571","3,142857143","3,142857143",2,"3,5","3,357142857","2,785714286",Superficial
82,Julio,F,ITC,3,4,4,4,4,2,5,4,5,3,4,1,4,5,5,4,4,1,5,4,5,4,4,1,4,2,3,4,4,4,4,3,5,1,2,2,5,4,1,1,4,1,"4,285714286","3,714285714",4,3,"3,714285714","1,714285714","3,642857143","3,714285714","2,857142857",Profundo
83,Julio,F,ITC,5,2,3,3,4,1,5,5,3,4,4,2,5,5,5,5,4,2,5,5,5,2,5,1,1,3,1,5,2,4,5,5,2,1,1,3,5,5,3,1,4,5,"4,428571429","4,285714286","3,142857143",3,"3,428571429","2,571428571","3,714285714","3,857142857","2,857142857",Profundo
84,Julio,M,ITC,1,3,3,4,2,1,3,4,3,4,4,1,5,5,4,3,4,2,1,4,5,2,3,1,3,4,1,2,3,2,4,5,1,1,2,2,5,3,2,1,3,1,"3,142857143",4,"2,714285714","2,428571429",3,"1,428571429","2,785714286","3,5","2,071428571",Profundo
85,Julio,F,ITC,3,4,3,2,5,1,4,4,3,4,4,2,3,4,3,3,4,3,5,3,1,1,4,1,4,5,2,4,3,3,3,5,2,2,4,3,4,4,1,4,5,1,"3,714285714","4,142857143","2,142857143","2,857142857","4,142857143",2,"3,285714286","4,142857143","2,071428571",Profundo
86,Julio,M,MC,4,5,3,2,5,5,2,5,3,4,5,4,2,5,5,3,4,5,5,5,5,1,5,4,3,2,2,5,3,5,5,5,5,5,2,4,3,5,3,1,5,5,"3,428571429","4,571428571","3,714285714",3,"4,142857143","4,571428571","3,214285714","4,357142857","4,142857143",Profundo
87,Julio,M,ISC,3,2,4,1,3,1,5,5,3,3,5,1,4,4,2,3,5,1,5,2,3,4,2,4,4,5,2,5,2,3,1,2,1,3,2,1,5,1,1,4,3,5,"3,857142857",3,"2,285714286","3,285714286","3,142857143","2,285714286","3,571428571","3,071428571","2,285714286",Superficial
88,Julio,M,ISC,1,3,2,1,4,1,5,5,3,5,5,4,1,4,5,3,3,3,5,3,2,2,4,1,5,4,1,5,3,1,1,5,1,4,3,2,1,5,5,2,4,4,"2,714285714","4,142857143","2,714285714","3,142857143","3,714285714","2,285714286","2,928571429","3,928571429","2,5",Profundo
89,Julio,M,ISC,4,4,5,5,2,1,4,5,3,3,4,1,3,4,3,1,3,2,5,1,2,3,5,3,4,2,1,5,3,4,3,4,1,1,2,3,4,1,2,1,5,2,"3,857142857",3,"2,428571429","2,714285714","3,428571429","2,285714286","3,285714286","3,214285714","2,357142857",Superficial
90,Julio,M,IMT,4,4,5,1,2,3,4,4,5,3,4,4,4,4,5,4,5,2,4,4,2,2,5,4,3,4,4,4,4,4,4,5,4,1,4,5,4,3,2,2,5,5,"3,857142857",4,"3,857142857","2,428571429","4,142857143","3,857142857","3,142857143","4,071428571","3,857142857",Profundo
91,Julio,M,ISD,4,3,3,4,3,1,4,5,5,3,4,2,4,3,5,2,3,3,3,2,3,4,3,1,4,2,2,5,2,3,5,5,4,2,2,2,4,5,2,2,4,1,4,"3,571428571","3,428571429","3,142857143",3,"1,857142857","3,571428571","3,285714286","2,642857143",Superficial
92,Julio,F,ITI,5,2,3,1,2,3,2,5,1,4,4,1,5,3,2,3,4,1,1,1,2,4,5,4,3,5,1,4,3,2,3,5,2,3,1,1,5,5,1,3,5,5,"3,428571429","3,714285714","1,714285714","3,142857143","3,428571429","2,428571429","3,285714286","3,571428571","2,071428571",Profundo
93,Julio,M,ISD,3,4,3,3,4,2,4,4,4,4,4,3,5,4,4,3,3,3,5,3,4,3,5,3,3,4,3,5,4,4,5,4,3,4,4,3,4,4,3,3,4,3,"4,142857143","3,857142857","3,428571429","3,571428571",4,3,"3,857142857","3,928571429","3,214285714",Profundo
94,Julio,M,ISC,2,4,1,2,3,2,5,4,1,3,4,3,5,3,4,4,4,2,2,2,5,2,4,1,5,4,1,4,4,5,4,4,1,4,3,4,5,4,5,2,4,2,4,"3,571428571","2,571428571",3,"3,714285714","2,714285714","3,5","3,642857143","2,642857143",Profundo
95,Julio,M,ISDR,1,5,3,5,5,3,5,5,4,3,5,4,3,5,5,4,5,3,5,5,5,4,5,3,5,5,4,5,4,3,5,5,1,4,4,3,5,5,5,3,5,4,"4,142857143",5,"3,857142857",4,"4,714285714","3,285714286","4,071428571","4,857142857","3,571428571",Profundo
96,Julio,M,ITC,3,0,2,2,4,1,5,5,3,4,4,2,5,3,4,1,2,3,4,2,3,2,4,1,3,4,1,3,4,4,5,2,2,4,2,1,5,4,2,2,4,0,"4,285714286","3,333333333","2,428571429","2,571428571","3,428571429",2,"3,428571429","3,380952381","2,214285714",Superficial
97,Julio,F,LAE,1,4,5,5,3,2,2,1,5,3,2,1,5,2,5,1,1,1,3,1,3,2,2,2,5,3,2,1,1,1,4,3,5,1,2,1,5,3,3,1,4,4,"3,571428571","2,428571429",4,2,"2,142857143","1,714285714","2,785714286","2,285714286","2,857142857",Logro
98,Julio,F,IMD,2,3,3,4,2,2,5,3,4,4,4,2,2,4,5,3,3,3,4,3,3,1,4,2,1,3,1,3,3,4,4,5,4,2,2,3,3,3,3,2,3,2,3,"3,428571429","3,285714286","2,714285714",3,"2,571428571","2,857142857","3,214285714","2,928571429",Profundo
99,Julio,F,ITIt,5,4,4,3,3,1,4,3,4,4,4,3,5,5,4,4,3,3,4,3,4,3,5,2,5,2,2,4,2,4,3,0,4,3,2,2,5,4,2,3,5,3,"4,428571429","3,5","3,428571429","3,428571429","3,428571429","2,571428571","3,928571429","3,464285714",3,Superficial
100,Julio,F,ISDR,3,2,2,2,4,4,4,5,3,3,4,4,2,4,1,2,4,3,5,3,3,3,5,4,3,5,2,4,4,3,4,5,3,3,3,2,2,5,2,2,3,4,"3,285714286","4,142857143","2,285714286","2,714285714","3,857142857","3,428571429",3,4,"2,857142857",Profundo
101,Julio,M,ITC,5,5,4,3,5,2,5,4,5,5,5,5,5,5,5,5,4,4,3,5,5,1,4,1,4,4,4,4,4,4,5,5,5,3,5,1,4,3,4,4,4,3,"4,428571429","4,428571429","4,571428571","3,571428571","4,428571429","2,857142857",4,"4,428571429","3,714285714",Profundo
102,Julio,M,ISC,4,4,4,2,5,3,5,4,4,4,3,5,5,4,4,3,4,4,5,4,2,3,4,3,2,4,3,3,4,3,4,2,0,2,3,2,3,3,3,2,4,4,4,"3,571428571","3,333333333","2,714285714","3,857142857","3,428571429","3,357142857","3,714285714","3,380952381",Profundo
103,Julio,M,ITI,3,3,3,2,3,2,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,2,3,2,2,3,2,4,3,4,3,4,3,2,2,2,3,4,4,2,3,2,3,"3,571428571","3,142857143","2,571428571","2,857142857","2,571428571","2,785714286","3,214285714","2,857142857",Profundo
104,Julio,M,INT,3,4,5,2,3,3,5,4,5,5,4,3,4,5,5,4,3,3,5,3,3,3,5,3,3,4,4,5,5,4,4,5,3,4,4,3,4,4,4,3,4,4,4,"4,142857143","4,142857143","3,714285714",4,"3,285714286","3,857142857","4,071428571","3,714285714",Profundo
105,Julio,M,ITI,3,3,2,3,3,1,4,5,3,2,1,1,4,3,5,4,4,2,4,2,5,1,1,1,3,5,1,1,1,3,3,2,1,1,1,2,5,3,2,1,1,1,"3,714285714","3,285714286","2,714285714","1,857142857","1,714285714","1,571428571","2,785714286","2,5","2,142857143",Superficial
106,Julio,M,ISC,5,5,5,5,5,4,4,4,4,3,4,5,5,4,4,4,3,3,5,5,5,5,4,4,4,3,4,3,3,3,4,4,4,4,3,4,4,3,4,3,4,3,"4,428571429",4,"4,285714286","3,857142857","3,714285714","3,714285714","4,142857143","3,857142857",4,Superficial
107,Julio,M,ITC,1,4,3,2,2,1,2,4,5,4,2,1,1,5,5,2,4,1,2,5,5,2,5,1,2,5,1,5,5,2,2,5,1,2,5,3,4,2,1,3,5,1,2,"4,285714286",3,"2,857142857",4,"1,428571429","2,428571429","4,142857143","2,214285714",Profundo
108,Julio,M,IFI,2,4,4,3,5,2,5,5,4,3,4,4,3,5,5,5,5,4,4,4,4,2,4,2,2,3,1,4,4,4,3,4,3,3,2,3,3,5,3,2,4,2,"3,142857143","4,285714286","3,428571429","3,142857143",4,3,"3,142857143","4,142857143","3,214285714",Profundo
109,Julio,M,IMT,4,4,5,2,4,2,4,4,3,4,4,2,4,3,3,3,3,2,5,3,3,1,4,2,3,3,2,4,2,4,4,5,3,4,3,4,4,4,4,3,4,2,4,"3,714285714","3,285714286",3,"3,428571429","2,571428571","3,5","3,571428571","2,928571429",Profundo
110,Julio,F,ITI,2,3,4,1,3,2,5,4,5,2,5,2,5,5,5,5,2,4,4,5,3,1,5,4,1,2,1,4,3,3,1,3,5,3,3,5,5,2,4,4,5,5,"3,285714286","3,428571429","3,857142857","2,857142857","3,714285714","3,571428571","3,071428571","3,571428571","3,714285714",Logro
111,Julio,M,IMT,3,5,5,2,3,2,4,4,5,5,3,3,5,5,5,4,3,4,5,4,4,2,3,3,2,3,3,4,3,4,4,3,5,2,2,3,5,4,4,4,4,2,4,4,"4,428571429","3,285714286",3,3,"3,642857143","3,5","3,714285714",Logro