MS,MP,ML,EsS,EsP,EsL,Enfoque
4,4,3.57,4,3.14,2,Superficial
3.57,3.71,3.71,2.86,3.43,3.71,Logro
4.86,4.14,4.71,3.29,2.43,2.86,Superficial
3.57,3.43,3.57,3.14,3.29,2.86,Superficial
3.71,3.57,4.29,3.29,4.14,4.14,Logro
3.14,4.43,3.57,2.43,4.86,3.86,Profundo
4.43,3.71,3.57,3.14,3.57,3.57,Superficial
2.71,3.29,3.29,3.29,4.14,4,Profundo
4,3.86,4.43,3,3.57,2.86,Profundo
3.71,3.86,3.71,3.29,3,3.29,Superficial
3.29,3,2.43,2.14,3.57,2.14,Profundo
3,4.43,3.71,3.86,4.14,3.29,Profundo
4.14,4.57,3.86,3.86,3.86,3.29,Profundo
3.14,3.29,3.71,3,3.29,3.71,Logro
4,3.71,3.71,4,3.57,3.86,Superficial
4.29,3.71,3.43,3.29,3.29,2.43,Superficial
4.71,4.29,4.71,4.43,4.71,4.43,Superficial
4.71,4.43,4.71,2.86,4.43,4.57,Logro
3.57,3.29,3.71,3,3.14,3.14,Logro
4.43,3.86,2.43,2.43,4.14,2.29,Profundo
2.57,3.29,3,3.14,3.14,1.86,Profundo
2.57,4,4.14,2.57,4.86,4.14,Profundo
3.71,3.71,3.29,3.43,2.57,2.14,Superficial
4.43,4.71,2.71,3.29,4.57,3,Profundo
4,3,4.14,2.57,3,3.43,Logro
3.71,3.86,3.29,3,2.57,2.14,Superficial
3.71,4.43,3.43,2.14,3.43,1.86,Profundo
3.57,4,3.43,3.71,3.29,4.43,Logro
4,3.43,4.86,3.29,4,4.29,Logro
3.71,4,3.57,3,4,2.86,Profundo
4,3.86,3,3.43,2.71,2.14,Superficial
4,4.43,3.57,3.29,2.86,2.71,Superficial
3.43,4.71,4,2.14,3.57,3.14,Profundo
3.43,3.57,1.57,3.14,3.29,2,Profundo
4.14,4.71,2.71,2.71,4.43,2.14,Profundo
4,3.86,2.86,3.71,2,2.29,Superficial
4.71,5,5,4.57,4.71,4.86,Logro
3.57,3.43,3,2.71,3.14,2.57,Profundo
3.71,3.57,4.57,2.43,3.14,2.71,Logro
3.14,3.43,2.71,2.86,2,1.29,Superficial
3.43,3.29,3.29,3.14,2.86,2.86,Superficial
3.86,4,2.86,2.29,4.14,2.29,Profundo
4.43,4.71,4.43,3.86,4.43,4,Profundo
3.43,4.14,2.86,3,3.57,2.43,Profundo
3.86,4.43,2.14,4.57,4,1.29,Superficial
3.43,4.86,3.14,4,4.86,3.43,Profundo
3.86,4,3.71,3.14,4.14,3,Profundo
3.71,3.86,3.71,3,3,3.29,Logro
3,3,3,3,3.14,3,Profundo
1.86,3,2.57,2.86,3.29,2,Profundo
2.71,2.86,2.14,3.29,4,1.71,Profundo
4.14,4.43,2.71,2.86,3.14,2,Profundo
3,3.71,3.57,3.14,3.57,2.57,Profundo
4.57,4.71,3.71,3.71,3.57,2.29,Superficial
4.29,4,2.86,3.57,3.57,3.57,Superficial
4.43,3.57,2.71,2.86,3.71,1.43,Superficial
3.29,2,2,2.57,2.14,2,Superficial
3.57,3.86,3.57,2.71,4.43,3.14,Profundo
3.71,3,3.86,2.86,3.14,3.57,Logro
3,3.57,2.71,3,3.14,2.57,Profundo
3.86,4.57,4,3.43,4,3.86,Profundo
4.43,4.71,4.14,3.86,5,4.57,Profundo
3.86,3.86,4.29,2.71,3.71,2.86,Profundo
3.29,3.29,2.57,2.71,3.29,2.57,Profundo
3.86,4,4.43,4.57,4.71,4,Profundo
3.14,2.43,2.43,3.14,2.43,2.43,Superficial
3.57,3.43,3.29,4,3.14,1.71,Superficial
3.43,3.86,3.43,3.29,3.71,2.71,Profundo
3.86,3.57,3.43,2.86,2.71,2.14,Superficial
3.57,4.29,3.43,3.29,4.14,3,Profundo
3.71,4.29,3.57,3.43,3.71,3.57,Profundo
2.86,3.86,2.43,2.71,3.86,2.57,Profundo
4,4.57,4,3.14,4.71,3.71,Profundo
3.86,4.14,4.57,3.71,4.57,4.71,Logro
3.43,3.14,1.86,3.43,3.29,2.57,Superficial
3.71,4.71,4.43,2.29,4.71,3.29,Profundo
2.71,4.14,2.86,2.29,4.67,3.67,Profundo
3.14,3.14,2.57,1.71,2.86,1.71,Profundo
3.14,4.29,3.57,2,3.57,2.14,Profundo
4.29,4.57,3.57,2.86,4.57,4.14,Profundo
3.86,3.57,3.57,3.14,3.14,2,Superficial
4.29,3.71,4,3,3.71,1.71,Profundo
4.43,4.29,3.14,3,3.43,2.57,Profundo
3.14,4,2.71,2.43,3,1.43,Profundo
3.71,4.14,2.14,2.86,4.14,2,Profundo
3.43,4.57,3.71,3,4.14,4.57,Profundo
3.86,3,2.29,3.29,3.14,2.29,Superficial
2.71,4.14,2.71,3.14,3.71,2.29,Profundo
3.86,3,2.43,2.71,3.43,2.29,Superficial
3.86,4,3.86,2.43,4.14,3.86,Profundo
4,3.57,3.43,3.14,3,1.86,Superficial
3.43,3.71,1.71,3.14,3.43,2.43,Profundo
4.14,3.86,3.43,3.57,4,3,Profundo
4,3.57,2.57,3,3.71,2.71,Profundo
4.14,5,3.86,4,4.71,3.29,Profundo
4.29,3.33,2.43,2.57,3.43,2,Superficial
3.57,2.43,4,2,2.14,1.71,Logro
3,3.43,3.29,2.71,3,2.57,Profundo
4.43,3.5,3.43,3.43,3.43,2.57,Superficial
3.29,4.14,2.29,2.71,3.86,3.43,Profundo
4.43,4.43,4.57,3.57,4.43,2.86,Profundo
4,3.57,3.33,2.71,3.86,3.43,Profundo
3,3.57,3.14,2.57,2.86,2.57,Profundo
4,4.14,4.14,3.71,4,3.29,Profundo
3.71,3.29,2.71,1.86,1.71,1.57,Superficial
4.43,4,4.29,3.86,3.71,3.71,Superficial
2,4.29,3,2.86,4,1.43,Profundo
3.14,4.29,3.43,3.14,4,3,Profundo
4,3.71,3.29,3,3.43,2.57,Profundo
3.29,3.43,3.86,2.86,3.71,3.57,Logro
4,4,4.43,3.29,3,3,Logro
